"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7894","Добавлены книги: You Don't Know JS, Git Pocket Guide, Programming JavaScript Applications, Learning JavaScript Design Patterns","","Wed Jun 18 11:51:04 GMT 2025","passed","Wed Jun 18 11:51:12 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","addBooks"
"","426","Удаление всех книг из корзины пользователя","","Wed Jun 18 11:51:24 GMT 2025","failed","Wed Jun 18 11:51:24 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteAllBooks"
"","11893","Добавлена книга: Eloquent JavaScript, Second Edition","","Wed Jun 18 11:51:12 GMT 2025","failed","Wed Jun 18 11:51:24 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","4094","negative400DeleteBookApiTest()","","Wed Jun 18 11:51:00 GMT 2025","passed","Wed Jun 18 11:51:04 GMT 2025","","tests.apiTests.DeleteBookApiTests","tests.apiTests.DeleteBookApiTests","negative400DeleteBookApiTest"
"","289","Удаление одной книги из корзины пользователя","","Wed Jun 18 11:51:24 GMT 2025","failed","Wed Jun 18 11:51:24 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteBook"
"","4316","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Wed Jun 18 11:51:34 GMT 2025","passed","Wed Jun 18 11:51:38 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","successfulLoginWithApiTest"
"","2","Добавление имени теста через Allure","","Wed Jun 18 11:51:04 GMT 2025","passed","Wed Jun 18 11:51:04 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","testDynamicLabels"
"","9371","Успешная авторизация через UI","","Wed Jun 18 11:51:24 GMT 2025","failed","Wed Jun 18 11:51:34 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","loginUITest"
