"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2664","Повторное добавление книги в профиль пользователя","","Mon Jun 30 12:45:03 GMT 2025","passed","Mon Jun 30 12:45:06 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","0","Удаление нескольких книг из профиля пользователя","","Mon Jun 30 12:45:26 GMT 2025","skipped","Mon Jun 30 12:45:26 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","760","Отправка пустого списка книг в теле запроса","","Mon Jun 30 12:45:02 GMT 2025","passed","Mon Jun 30 12:45:03 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","1079","Добавление несуществующей книги в профиль пользователя","","Mon Jun 30 12:45:06 GMT 2025","passed","Mon Jun 30 12:45:07 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","2584","Удаление всех книг из профиля пользователя","","Mon Jun 30 12:45:23 GMT 2025","broken","Mon Jun 30 12:45:26 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","7609","Добавлены книги: Programming JavaScript Applications, Understanding ECMAScript 6, Eloquent JavaScript, Second Edition, Learning JavaScript Design Patterns","","Mon Jun 30 12:45:11 GMT 2025","passed","Mon Jun 30 12:45:19 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","2855","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Mon Jun 30 12:45:31 GMT 2025","passed","Mon Jun 30 12:45:34 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","1570","Добавление одной случайной книги в профиль пользователя","","Mon Jun 30 12:45:07 GMT 2025","passed","Mon Jun 30 12:45:08 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","3408","Добавление книги в профиль пользователя без авторизационных данных","","Mon Jun 30 12:44:59 GMT 2025","passed","Mon Jun 30 12:45:02 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","2617","Добавление нескольких случайных книг в профиль пользователя","","Mon Jun 30 12:45:08 GMT 2025","passed","Mon Jun 30 12:45:11 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","4896","Успешная авторизация через UI","","Mon Jun 30 12:45:26 GMT 2025","failed","Mon Jun 30 12:45:31 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","4799","Добавлена книга: Learning JavaScript Design Patterns","","Mon Jun 30 12:45:19 GMT 2025","passed","Mon Jun 30 12:45:23 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
