"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","API: Книги в профиле","0","API: Негативные сценарии добавления книг в профиль","4","0","","0"
"1","Книги в профиле","0","Удаление книг","0","1","","0"
"0","Книги в профиле","0","Добавление книг","2","0","","0"
"0","Авторизация","1","Авторизация через UI","1","0","","0"
"0","API: Книги в профиле","0","API: Добавление книг в профиль","2","0","","0"
