"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5223","Добавлена книга: Designing Evolvable Web APIs with ASP.NET","","Wed Jun 18 11:06:59 GMT 2025","passed","Wed Jun 18 11:07:04 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","3979","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Wed Jun 18 11:07:24 GMT 2025","passed","Wed Jun 18 11:07:28 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","successfulLoginWithApiTest"
"","4097","negative400DeleteBookApiTest()","","Wed Jun 18 11:06:47 GMT 2025","passed","Wed Jun 18 11:06:51 GMT 2025","","tests.apiTests.DeleteBookApiTests","tests.apiTests.DeleteBookApiTests","negative400DeleteBookApiTest"
"","8247","Удаление одной книги из корзины пользователя","","Wed Jun 18 11:07:08 GMT 2025","failed","Wed Jun 18 11:07:16 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteBook"
"","7923","Успешная авторизация через UI","","Wed Jun 18 11:07:16 GMT 2025","failed","Wed Jun 18 11:07:24 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","loginUITest"
"","2","Добавление имени теста через Allure","","Wed Jun 18 11:06:51 GMT 2025","passed","Wed Jun 18 11:06:51 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","testDynamicLabels"
"","8052","Добавлены книги: Learning JavaScript Design Patterns, Eloquent JavaScript, Second Edition, Git Pocket Guide, Understanding ECMAScript 6","","Wed Jun 18 11:06:51 GMT 2025","passed","Wed Jun 18 11:06:59 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","addBooks"
"","3655","Удаление всех книг из корзины пользователя","","Wed Jun 18 11:07:04 GMT 2025","broken","Wed Jun 18 11:07:08 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteAllBooks"
