"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7759","Добавлены книги: Designing Evolvable Web APIs with ASP.NET, Learning JavaScript Design Patterns, Understanding ECMAScript 6, Eloquent JavaScript, Second Edition","","Tue Jul 01 10:27:54 GMT 2025","passed","Tue Jul 01 10:28:01 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","1680","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 10:27:46 GMT 2025","passed","Tue Jul 01 10:27:48 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","4754","Успешная авторизация через UI","","Tue Jul 01 10:28:10 GMT 2025","failed","Tue Jul 01 10:28:15 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","4311","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 10:27:37 GMT 2025","passed","Tue Jul 01 10:27:42 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","3738","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 10:28:15 GMT 2025","passed","Tue Jul 01 10:28:19 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","3228","Удаление всех книг из профиля пользователя","","Tue Jul 01 10:28:07 GMT 2025","broken","Tue Jul 01 10:28:10 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","1122","Отправка пустого списка книг в теле запроса","","Tue Jul 01 10:27:42 GMT 2025","passed","Tue Jul 01 10:27:43 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","2243","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 10:27:48 GMT 2025","passed","Tue Jul 01 10:27:50 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","5425","Добавлена книга: Learning JavaScript Design Patterns","","Tue Jul 01 10:28:01 GMT 2025","passed","Tue Jul 01 10:28:07 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
"","3413","Повторное добавление книги в профиль пользователя","","Tue Jul 01 10:27:43 GMT 2025","passed","Tue Jul 01 10:27:46 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 10:28:10 GMT 2025","skipped","Tue Jul 01 10:28:10 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","3391","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 10:27:50 GMT 2025","passed","Tue Jul 01 10:27:54 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
