"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14932","Удаление одной книги из корзины пользователя","","Wed Jun 18 11:48:19 GMT 2025","failed","Wed Jun 18 11:48:34 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteBook"
"","4653","negative400DeleteBookApiTest()","","Wed Jun 18 11:47:51 GMT 2025","passed","Wed Jun 18 11:47:56 GMT 2025","","tests.apiTests.DeleteBookApiTests","tests.apiTests.DeleteBookApiTests","negative400DeleteBookApiTest"
"","3028","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Wed Jun 18 11:48:45 GMT 2025","passed","Wed Jun 18 11:48:48 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","successfulLoginWithApiTest"
"","12548","Удаление всех книг из корзины пользователя","","Wed Jun 18 11:48:07 GMT 2025","failed","Wed Jun 18 11:48:19 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteAllBooks"
"","7437","Добавлены книги: Eloquent JavaScript, Second Edition, Speaking JavaScript, Programming JavaScript Applications, Learning JavaScript Design Patterns","","Wed Jun 18 11:47:56 GMT 2025","passed","Wed Jun 18 11:48:04 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","addBooks"
"","3127","Добавлена книга: Programming JavaScript Applications","","Wed Jun 18 11:48:04 GMT 2025","failed","Wed Jun 18 11:48:07 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","10626","Успешная авторизация через UI","","Wed Jun 18 11:48:34 GMT 2025","failed","Wed Jun 18 11:48:45 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","loginUITest"
"","7","Добавление имени теста через Allure","","Wed Jun 18 11:47:56 GMT 2025","passed","Wed Jun 18 11:47:56 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","testDynamicLabels"
