"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2611","Повторное добавление книги в профиль пользователя","","Tue Jul 01 09:06:16 GMT 2025","passed","Tue Jul 01 09:06:19 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","4366","Добавлена книга: Eloquent JavaScript, Second Edition","","Tue Jul 01 09:06:30 GMT 2025","passed","Tue Jul 01 09:06:35 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
"","5232","Удаление всех книг из профиля пользователя","","Tue Jul 01 09:06:35 GMT 2025","passed","Tue Jul 01 09:06:40 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","1605","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 09:06:20 GMT 2025","passed","Tue Jul 01 09:06:21 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 09:06:40 GMT 2025","skipped","Tue Jul 01 09:06:40 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","6366","Добавлены книги: Eloquent JavaScript, Second Edition, Learning JavaScript Design Patterns, Designing Evolvable Web APIs with ASP.NET, Understanding ECMAScript 6","","Tue Jul 01 09:06:24 GMT 2025","passed","Tue Jul 01 09:06:30 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","1041","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 09:06:19 GMT 2025","passed","Tue Jul 01 09:06:20 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","2678","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 09:06:21 GMT 2025","passed","Tue Jul 01 09:06:24 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","3581","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 09:06:47 GMT 2025","passed","Tue Jul 01 09:06:50 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","6788","Успешная авторизация через UI","","Tue Jul 01 09:06:40 GMT 2025","failed","Tue Jul 01 09:06:47 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","729","Отправка пустого списка книг в теле запроса","","Tue Jul 01 09:06:15 GMT 2025","passed","Tue Jul 01 09:06:16 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","3597","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 09:06:12 GMT 2025","passed","Tue Jul 01 09:06:15 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
