"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8730","Добавлены книги: Designing Evolvable Web APIs with ASP.NET, Git Pocket Guide, Speaking JavaScript, Eloquent JavaScript, Second Edition","","Mon Jun 30 11:34:01 GMT 2025","passed","Mon Jun 30 11:34:10 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","addBooks"
"","2369","Добавление одной случайной книги в профиль пользователя","","Mon Jun 30 11:33:58 GMT 2025","passed","Mon Jun 30 11:34:01 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","addBook"
"","1741","Добавление несуществующей книги в профиль пользователя","","Mon Jun 30 11:33:53 GMT 2025","passed","Mon Jun 30 11:33:55 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","7765","Удаление всех книг из корзины пользователя","","Mon Jun 30 11:34:16 GMT 2025","passed","Mon Jun 30 11:34:23 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooks"
"","0","Удаление нескольких книг из корзины пользователя","","Mon Jun 30 11:34:23 GMT 2025","skipped","Mon Jun 30 11:34:23 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteBook"
"","3734","Повторное добавление книги в профиль пользователя","","Mon Jun 30 11:33:49 GMT 2025","passed","Mon Jun 30 11:33:53 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","1115","Отправка пустого списка книг в теле запроса","","Mon Jun 30 11:33:48 GMT 2025","passed","Mon Jun 30 11:33:49 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","3611","Добавление нескольких случайных книг в профиль пользователя","","Mon Jun 30 11:33:55 GMT 2025","passed","Mon Jun 30 11:33:58 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","addBooks"
"","4979","Успешная авторизация через UI","","Mon Jun 30 11:34:23 GMT 2025","passed","Mon Jun 30 11:34:28 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","6061","Добавлена книга: Designing Evolvable Web APIs with ASP.NET","","Mon Jun 30 11:34:10 GMT 2025","passed","Mon Jun 30 11:34:16 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","3894","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Mon Jun 30 11:34:28 GMT 2025","passed","Mon Jun 30 11:34:32 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","3958","Добавление книги в профиль пользователя без авторизационных данных","","Mon Jun 30 11:33:44 GMT 2025","passed","Mon Jun 30 11:33:48 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
