"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9350","Удаление всех книг из профиля пользователя","","Tue Jul 01 08:02:00 GMT 2025","failed","Tue Jul 01 08:02:10 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","4433","Успешная авторизация через UI","","Tue Jul 01 08:02:10 GMT 2025","passed","Tue Jul 01 08:02:14 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","7750","Добавлены книги: Learning JavaScript Design Patterns, Eloquent JavaScript, Second Edition, You Don't Know JS, Speaking JavaScript","","Tue Jul 01 08:01:48 GMT 2025","passed","Tue Jul 01 08:01:55 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","5150","Добавлена книга: You Don't Know JS","","Tue Jul 01 08:01:55 GMT 2025","passed","Tue Jul 01 08:02:00 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
"","3243","Повторное добавление книги в профиль пользователя","","Tue Jul 01 08:01:38 GMT 2025","passed","Tue Jul 01 08:01:41 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","2103","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 08:01:42 GMT 2025","passed","Tue Jul 01 08:01:44 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","1005","Отправка пустого списка книг в теле запроса","","Tue Jul 01 08:01:37 GMT 2025","passed","Tue Jul 01 08:01:38 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 08:02:10 GMT 2025","skipped","Tue Jul 01 08:02:10 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","3159","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 08:01:44 GMT 2025","passed","Tue Jul 01 08:01:48 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","3934","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 08:01:33 GMT 2025","passed","Tue Jul 01 08:01:36 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","3581","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 08:02:14 GMT 2025","passed","Tue Jul 01 08:02:18 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","1454","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 08:01:41 GMT 2025","passed","Tue Jul 01 08:01:42 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
