"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 07:53:45 GMT 2025","skipped","Tue Jul 01 07:53:45 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","1522","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 07:53:20 GMT 2025","passed","Tue Jul 01 07:53:21 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","1051","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 07:53:19 GMT 2025","passed","Tue Jul 01 07:53:20 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","3034","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 07:53:50 GMT 2025","passed","Tue Jul 01 07:53:53 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","3689","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 07:53:12 GMT 2025","passed","Tue Jul 01 07:53:15 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","2667","Повторное добавление книги в профиль пользователя","","Tue Jul 01 07:53:16 GMT 2025","passed","Tue Jul 01 07:53:19 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","4598","Успешная авторизация через UI","","Tue Jul 01 07:53:45 GMT 2025","passed","Tue Jul 01 07:53:50 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","743","Отправка пустого списка книг в теле запроса","","Tue Jul 01 07:53:15 GMT 2025","passed","Tue Jul 01 07:53:16 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","5561","Добавлена книга: Eloquent JavaScript, Second Edition","","Tue Jul 01 07:53:31 GMT 2025","passed","Tue Jul 01 07:53:36 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
"","2413","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 07:53:21 GMT 2025","passed","Tue Jul 01 07:53:24 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","6909","Добавлены книги: Programming JavaScript Applications, Understanding ECMAScript 6, You Don't Know JS, Designing Evolvable Web APIs with ASP.NET","","Tue Jul 01 07:53:24 GMT 2025","passed","Tue Jul 01 07:53:31 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","8761","Удаление всех книг из профиля пользователя","","Tue Jul 01 07:53:36 GMT 2025","failed","Tue Jul 01 07:53:45 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
