"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Удаление нескольких книг из корзины пользователя","","Mon Jun 30 11:14:41 GMT 2025","skipped","Mon Jun 30 11:14:41 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteBook"
"","6373","Добавлены книги: Designing Evolvable Web APIs with ASP.NET, Understanding ECMAScript 6, Speaking JavaScript, Programming JavaScript Applications","","Mon Jun 30 11:14:24 GMT 2025","passed","Mon Jun 30 11:14:31 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","addBooks"
"","1768","Добавление одной случайной книги в профиль пользователя","","Mon Jun 30 11:14:23 GMT 2025","passed","Mon Jun 30 11:14:24 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","addBook"
"","1218","Добавление несуществующей книги в профиль пользователя","","Mon Jun 30 11:14:19 GMT 2025","passed","Mon Jun 30 11:14:20 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","2729","Добавление нескольких случайных книг в профиль пользователя","","Mon Jun 30 11:14:20 GMT 2025","passed","Mon Jun 30 11:14:23 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","addBooks"
"","2990","Повторное добавление книги в профиль пользователя","","Mon Jun 30 11:14:16 GMT 2025","passed","Mon Jun 30 11:14:19 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","834","Отправка пустого списка книг в теле запроса","","Mon Jun 30 11:14:15 GMT 2025","passed","Mon Jun 30 11:14:16 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","3226","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Mon Jun 30 11:14:45 GMT 2025","passed","Mon Jun 30 11:14:49 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","5534","Удаление всех книг из корзины пользователя","","Mon Jun 30 11:14:35 GMT 2025","passed","Mon Jun 30 11:14:41 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooks"
"","4360","Успешная авторизация через UI","","Mon Jun 30 11:14:41 GMT 2025","passed","Mon Jun 30 11:14:45 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","3796","Добавление книги в профиль пользователя без авторизационных данных","","Mon Jun 30 11:14:11 GMT 2025","passed","Mon Jun 30 11:14:15 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","4553","Добавлена книга: Speaking JavaScript","","Mon Jun 30 11:14:31 GMT 2025","passed","Mon Jun 30 11:14:35 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
