"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1066","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 09:28:01 GMT 2025","passed","Tue Jul 01 09:28:02 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","8586","Удаление всех книг из профиля пользователя","","Tue Jul 01 09:28:18 GMT 2025","failed","Tue Jul 01 09:28:26 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","6855","Успешная авторизация через UI","","Tue Jul 01 09:28:26 GMT 2025","failed","Tue Jul 01 09:28:33 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","1520","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 09:28:02 GMT 2025","passed","Tue Jul 01 09:28:04 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","699","Отправка пустого списка книг в теле запроса","","Tue Jul 01 09:27:59 GMT 2025","passed","Tue Jul 01 09:28:00 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
"","1719","Повторное добавление книги в профиль пользователя","","Tue Jul 01 09:28:00 GMT 2025","failed","Tue Jul 01 09:28:01 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","2634","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 09:28:04 GMT 2025","passed","Tue Jul 01 09:28:06 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 09:28:26 GMT 2025","skipped","Tue Jul 01 09:28:26 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","3819","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 09:27:55 GMT 2025","passed","Tue Jul 01 09:27:59 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","6468","Добавлены книги: Programming JavaScript Applications, Eloquent JavaScript, Second Edition, Designing Evolvable Web APIs with ASP.NET, Git Pocket Guide","","Tue Jul 01 09:28:07 GMT 2025","passed","Tue Jul 01 09:28:13 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","3032","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 09:28:33 GMT 2025","passed","Tue Jul 01 09:28:36 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","4761","Добавлена книга: Understanding ECMAScript 6","","Tue Jul 01 09:28:13 GMT 2025","passed","Tue Jul 01 09:28:18 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
