"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3571","Добавление книги в профиль пользователя без авторизационных данных","","Tue Jul 01 10:51:39 GMT 2025","passed","Tue Jul 01 10:51:43 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addBookWithoutLogin"
"","4382","Добавлена книга: Designing Evolvable Web APIs with ASP.NET","","Tue Jul 01 10:51:58 GMT 2025","passed","Tue Jul 01 10:52:03 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","bookShouldAppearInUserProfileAfterApiAddition"
"","4934","Успешная авторизация через UI","","Tue Jul 01 10:52:12 GMT 2025","passed","Tue Jul 01 10:52:17 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","loginUITest"
"","9202","Удаление всех книг из профиля пользователя","","Tue Jul 01 10:52:03 GMT 2025","failed","Tue Jul 01 10:52:12 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteAllBooksFromUserProfile"
"","6838","Добавлены книги: Speaking JavaScript, Eloquent JavaScript, Second Edition, Learning JavaScript Design Patterns, You Don't Know JS","","Tue Jul 01 10:51:52 GMT 2025","passed","Tue Jul 01 10:51:58 GMT 2025","","tests.api_UI.AddBookTest","tests.api_UI.AddBookTest","booksShouldAppearInUserProfileAfterApiAddition"
"","0","Удаление нескольких книг из профиля пользователя","","Tue Jul 01 10:52:12 GMT 2025","skipped","Tue Jul 01 10:52:12 GMT 2025","","tests.api_UI.DeleteBookTest","tests.api_UI.DeleteBookTest","deleteOneBookFromUserProfile"
"","2661","Повторное добавление книги в профиль пользователя","","Tue Jul 01 10:51:43 GMT 2025","passed","Tue Jul 01 10:51:46 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","repeatAddBook"
"","3387","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Tue Jul 01 10:52:17 GMT 2025","passed","Tue Jul 01 10:52:20 GMT 2025","","tests.api_UI.LoginTest","tests.api_UI.LoginTest","successfulLoginWithApiTest"
"","1663","Добавление одной случайной книги в профиль пользователя","","Tue Jul 01 10:51:47 GMT 2025","passed","Tue Jul 01 10:51:49 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","bookShouldBeAddedToUserProfile"
"","1171","Добавление несуществующей книги в профиль пользователя","","Tue Jul 01 10:51:46 GMT 2025","passed","Tue Jul 01 10:51:47 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addMoreBooks"
"","2705","Добавление нескольких случайных книг в профиль пользователя","","Tue Jul 01 10:51:49 GMT 2025","passed","Tue Jul 01 10:51:52 GMT 2025","","tests.api.AddBookTest","tests.api.AddBookTest","booksShouldBeAddedToUserProfile"
"","711","Отправка пустого списка книг в теле запроса","","Tue Jul 01 10:51:43 GMT 2025","passed","Tue Jul 01 10:51:43 GMT 2025","","tests.api.AddBookErrorTest","tests.api.AddBookErrorTest","addZeroBook"
