"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7363","Добавлены книги: Git Pocket Guide, Learning JavaScript Design Patterns, Designing Evolvable Web APIs with ASP.NET, Understanding ECMAScript 6","","Wed Jun 18 11:16:15 GMT 2025","passed","Wed Jun 18 11:16:22 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","addBooks"
"","10479","Успешная авторизация через UI","","Wed Jun 18 11:16:54 GMT 2025","failed","Wed Jun 18 11:17:04 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","loginUITest"
"","3","Добавление имени теста через Allure","","Wed Jun 18 11:16:15 GMT 2025","passed","Wed Jun 18 11:16:15 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","testDynamicLabels"
"","14411","Удаление одной книги из корзины пользователя","","Wed Jun 18 11:16:40 GMT 2025","failed","Wed Jun 18 11:16:54 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteBook"
"","2945","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Wed Jun 18 11:17:04 GMT 2025","passed","Wed Jun 18 11:17:07 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","successfulLoginWithApiTest"
"","4258","Добавлена книга: Speaking JavaScript","","Wed Jun 18 11:16:23 GMT 2025","passed","Wed Jun 18 11:16:27 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","12774","Удаление всех книг из корзины пользователя","","Wed Jun 18 11:16:27 GMT 2025","failed","Wed Jun 18 11:16:40 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteAllBooks"
"","3725","negative400DeleteBookApiTest()","","Wed Jun 18 11:16:11 GMT 2025","passed","Wed Jun 18 11:16:15 GMT 2025","","tests.apiTests.DeleteBookApiTests","tests.apiTests.DeleteBookApiTests","negative400DeleteBookApiTest"
