"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","1","0","","0"
"0","Книги в корзине","1","Добавление книг","1","0","","0"
"0","Авторизация","0","Авторизация через UI","2","0","","0"
"0","Книги в корзине","1","Удаление книг","1","0","","0"
