"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4027","negative400DeleteBookApiTest()","","Wed Jun 18 10:43:33 GMT 2025","passed","Wed Jun 18 10:43:37 GMT 2025","","tests.apiTests.DeleteBookApiTests","tests.apiTests.DeleteBookApiTests","negative400DeleteBookApiTest"
"","732","Удаление одной книги из корзины пользователя","","Wed Jun 18 10:43:42 GMT 2025","broken","Wed Jun 18 10:43:43 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteBook"
"","777","bookShouldAppearInProfileAfterApiAddition(UserSession)","","Wed Jun 18 10:43:40 GMT 2025","broken","Wed Jun 18 10:43:41 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","3211","addBooks(UserSession)","","Wed Jun 18 10:43:37 GMT 2025","broken","Wed Jun 18 10:43:40 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","addBooks"
"","2","Добавление имени теста через Allure","","Wed Jun 18 10:43:37 GMT 2025","passed","Wed Jun 18 10:43:37 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","testDynamicLabels"
"","307","Успешная авторизация через UI","","Wed Jun 18 10:43:43 GMT 2025","broken","Wed Jun 18 10:43:43 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","loginUITest"
"","714","Удаление всех книг из корзины пользователя","","Wed Jun 18 10:43:41 GMT 2025","broken","Wed Jun 18 10:43:42 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteAllBooks"
"","725","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Wed Jun 18 10:43:43 GMT 2025","broken","Wed Jun 18 10:43:44 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","successfulLoginWithApiTest"
