"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3511","Добавлена книга: Git Pocket Guide","","Wed Jun 18 10:53:08 GMT 2025","failed","Wed Jun 18 10:53:12 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","10576","Добавлены книги: Speaking JavaScript, Designing Evolvable Web APIs with ASP.NET, Learning JavaScript Design Patterns, Understanding ECMAScript 6","","Wed Jun 18 10:52:58 GMT 2025","failed","Wed Jun 18 10:53:08 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","addBooks"
"","6258","Удаление всех книг из корзины пользователя","","Wed Jun 18 10:53:12 GMT 2025","passed","Wed Jun 18 10:53:18 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteAllBooks"
"","3","Добавление имени теста через Allure","","Wed Jun 18 10:52:58 GMT 2025","passed","Wed Jun 18 10:52:58 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","testDynamicLabels"
"","10556","Удаление одной книги из корзины пользователя","","Wed Jun 18 10:53:18 GMT 2025","failed","Wed Jun 18 10:53:29 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteBook"
"","4540","negative400DeleteBookApiTest()","","Wed Jun 18 10:52:53 GMT 2025","passed","Wed Jun 18 10:52:58 GMT 2025","","tests.apiTests.DeleteBookApiTests","tests.apiTests.DeleteBookApiTests","negative400DeleteBookApiTest"
"","3137","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Wed Jun 18 10:53:33 GMT 2025","passed","Wed Jun 18 10:53:36 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","successfulLoginWithApiTest"
"","4692","Успешная авторизация через UI","","Wed Jun 18 10:53:29 GMT 2025","passed","Wed Jun 18 10:53:33 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","loginUITest"
