"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Авторизация","1","Авторизация через UI","1","0","","0"
"0","Книги в корзине","1","Добавление книг","1","0","","0"
"0","Книги в корзине","0","Удаление книг","1","1","","0"
