"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","951","Успешная авторизация через API и проверка имени пользователя в профиле через UI","","Wed Jun 18 10:37:25 GMT 2025","broken","Wed Jun 18 10:37:26 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","successfulLoginWithApiTest"
"","1081","bookShouldAppearInProfileAfterApiAddition(UserSession)","","Wed Jun 18 10:37:21 GMT 2025","broken","Wed Jun 18 10:37:22 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","bookShouldAppearInProfileAfterApiAddition"
"","1014","Удаление одной книги из корзины пользователя","","Wed Jun 18 10:37:23 GMT 2025","broken","Wed Jun 18 10:37:24 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteBook"
"","3","Добавление имени теста через Allure","","Wed Jun 18 10:37:16 GMT 2025","passed","Wed Jun 18 10:37:16 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","testDynamicLabels"
"","4871","addBooks(UserSession)","","Wed Jun 18 10:37:16 GMT 2025","broken","Wed Jun 18 10:37:21 GMT 2025","","tests.api_UI_tests.AddBookTest","tests.api_UI_tests.AddBookTest","addBooks"
"","357","Успешная авторизация через UI","","Wed Jun 18 10:37:24 GMT 2025","broken","Wed Jun 18 10:37:25 GMT 2025","","tests.api_UI_tests.LoginTest","tests.api_UI_tests.LoginTest","loginUITest"
"","4843","negative400DeleteBookApiTest()","","Wed Jun 18 10:37:11 GMT 2025","passed","Wed Jun 18 10:37:16 GMT 2025","","tests.apiTests.DeleteBookApiTests","tests.apiTests.DeleteBookApiTests","negative400DeleteBookApiTest"
"","945","Удаление всех книг из корзины пользователя","","Wed Jun 18 10:37:22 GMT 2025","broken","Wed Jun 18 10:37:23 GMT 2025","","tests.api_UI_tests.DeleteBookTest","tests.api_UI_tests.DeleteBookTest","deleteAllBooks"
